,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.62,-1.77,0.54,828,1.0
"beta_Age[2,1]",-0.07,-1.18,1.1,711,1.0
"beta_Age[1,2]",-0.57,-1.71,0.58,737,1.0
"beta_Age[2,2]",-0.23,-1.32,0.92,661,1.0
"beta_Age[1,3]",-0.56,-1.67,0.62,762,1.0
"beta_Age[2,3]",-0.34,-1.44,0.82,660,1.0
"beta_Age[1,4]",-0.33,-1.49,0.82,741,1.0
"beta_Age[2,4]",-0.26,-1.35,0.88,670,1.0
"beta_Age[1,5]",-0.51,-1.67,0.68,851,1.0
"beta_Age[2,5]",-0.44,-1.52,0.7,658,1.0
"beta_Age[1,6]",-0.01,-1.37,1.3,1074,1.0
"beta_Age[2,6]",-0.47,-1.57,0.72,703,1.0
mu_beta_Age[1],-0.23,-1.53,1.1,1820,1.0
mu_beta_Age[2],-0.27,-1.59,1.08,1663,1.0
mu_beta_Age[3],-0.31,-1.66,0.98,1552,1.0
mu_beta_Age[4],-0.2,-1.52,1.11,1707,1.0
mu_beta_Age[5],-0.32,-1.62,0.99,1719,1.0
mu_beta_Age[6],-0.16,-1.49,1.16,2092,1.0
"beta_Gender[1,1]",-0.69,-2.26,0.84,1167,1.0
"beta_Gender[2,1]",-0.89,-2.42,0.59,1122,1.0
"beta_Gender[1,2]",-0.79,-2.34,0.75,1176,1.0
"beta_Gender[2,2]",-0.65,-2.17,0.83,1117,1.0
"beta_Gender[1,3]",-1.07,-2.97,0.75,1884,1.0
"beta_Gender[2,3]",-0.23,-1.84,1.39,1328,1.0
mu_beta_Gender[1],-0.54,-1.95,0.93,1840,1.0
mu_beta_Gender[2],-0.48,-1.95,0.94,1739,1.0
mu_beta_Gender[3],-0.43,-1.93,1.09,1852,1.0
"beta_Education[1,1]",-0.45,-1.72,0.83,998,1.0
"beta_Education[2,1]",-0.15,-1.3,1.04,710,1.01
"beta_Education[1,2]",-0.44,-1.55,0.72,805,1.01
"beta_Education[2,2]",-0.38,-1.5,0.73,670,1.01
"beta_Education[1,3]",-0.59,-1.71,0.53,824,1.01
"beta_Education[2,3]",-0.28,-1.39,0.86,666,1.01
"beta_Education[1,4]",-0.38,-1.49,0.73,809,1.01
"beta_Education[2,4]",-0.46,-1.56,0.65,666,1.01
"beta_Education[1,5]",-0.21,-1.34,0.94,843,1.01
