,Mean,2.5%,97.5%,ESS,Rhat
"beta_Age[1,1]",-0.27,-1.48,0.97,2176,1.0
"beta_Age[2,1]",-0.46,-1.6,0.69,2061,1.0
"beta_Age[1,2]",-0.44,-1.63,0.78,2200,1.0
"beta_Age[2,2]",-0.07,-1.21,1.04,2078,1.0
"beta_Age[1,3]",-0.05,-1.25,1.16,2213,1.0
"beta_Age[2,3]",0.01,-1.09,1.15,2070,1.0
"beta_Age[1,4]",0.17,-1.03,1.4,2229,1.0
"beta_Age[2,4]",0.06,-1.05,1.19,2016,1.0
"beta_Age[1,5]",0.12,-1.11,1.35,2244,1.0
"beta_Age[2,5]",0.02,-1.08,1.16,1957,1.0
"beta_Age[1,6]",-0.03,-1.29,1.26,2342,1.0
"beta_Age[2,6]",-0.01,-1.14,1.13,2060,1.0
mu_beta_Age[1],-0.25,-1.56,1.1,3552,1.0
mu_beta_Age[2],-0.18,-1.49,1.15,3884,1.0
mu_beta_Age[3],-0.01,-1.37,1.32,3754,1.0
mu_beta_Age[4],0.08,-1.27,1.41,3403,1.0
mu_beta_Age[5],0.04,-1.22,1.33,3746,1.0
mu_beta_Age[6],-0.02,-1.29,1.32,3600,1.0
"beta_Gender[1,1]",-0.57,-2.18,1.14,3245,1.0
"beta_Gender[2,1]",-0.05,-1.63,1.55,2976,1.0
"beta_Gender[1,2]",-0.37,-1.97,1.34,3279,1.0
"beta_Gender[2,2]",0.22,-1.39,1.83,2854,1.0
"beta_Gender[1,3]",0.54,-1.52,2.77,4245,1.0
"beta_Gender[2,3]",-0.59,-2.23,1.09,3178,1.0
mu_beta_Gender[1],-0.21,-1.67,1.32,4133,1.0
mu_beta_Gender[2],-0.05,-1.52,1.4,3737,1.0
mu_beta_Gender[3],-0.01,-1.54,1.6,3896,1.0
"beta_Education[1,1]",-0.34,-1.66,0.91,2160,1.0
"beta_Education[2,1]",-0.28,-1.44,0.92,1930,1.0
"beta_Education[1,2]",0.16,-1.06,1.32,1768,1.0
"beta_Education[2,2]",0.03,-1.08,1.2,1690,1.0
"beta_Education[1,3]",0.08,-1.16,1.26,1839,1.0
"beta_Education[2,3]",0.09,-1.04,1.27,1729,1.0
"beta_Education[1,4]",0.07,-1.16,1.26,1852,1.0
"beta_Education[2,4]",-0.16,-1.29,1.01,1705,1.0
"beta_Education[1,5]",-0.36,-1.57,0.86,1893,1.0
"beta_Education[2,5]",-0.18,-1.33,0.96,1786,1.0
"beta_Education[1,6]",0.06,-1.17,1.26,1951,1.0
"beta_Education[2,6]",0.15,-0.98,1.35,1787,1.0
mu_beta_Education[1],-0.2,-1.49,1.11,3149,1.0
mu_beta_Education[2],0.07,-1.2,1.36,3156,1.0
mu_beta_Education[3],0.04,-1.26,1.36,2922,1.0
mu_beta_Education[4],-0.03,-1.34,1.3,3713,1.0
mu_beta_Education[5],-0.17,-1.46,1.15,3164,1.0
mu_beta_Education[6],0.07,-1.26,1.42,2949,1.0
"beta_Employment[1,1]",-0.1,-1.35,1.14,2344,1.0
"beta_Employment[2,1]",-0.16,-1.37,1.04,2244,1.0
"beta_Employment[1,2]",-0.03,-1.32,1.23,2426,1.0
"beta_Employment[2,2]",-0.18,-1.43,1.03,2305,1.0
"beta_Employment[1,3]",-0.22,-1.52,1.12,2411,1.0
"beta_Employment[2,3]",-0.09,-1.37,1.15,2308,1.0
"beta_Employment[1,4]",-0.12,-1.43,1.21,2651,1.0
"beta_Employment[2,4]",0.01,-1.25,1.21,2272,1.0
"beta_Employment[1,5]",0.11,-1.18,1.38,2557,1.0
"beta_Employment[2,5]",0.02,-1.23,1.21,2250,1.0
mu_beta_Employment[1],-0.09,-1.44,1.28,3693,1.0
mu_beta_Employment[2],-0.07,-1.4,1.21,3341,1.0
mu_beta_Employment[3],-0.12,-1.41,1.16,3670,1.0
mu_beta_Employment[4],-0.04,-1.39,1.31,3477,1.0
mu_beta_Employment[5],0.04,-1.29,1.39,3699,1.0
"beta_Religion[1,1]",-0.09,-1.36,1.18,2413,1.0
